Country,Year,Month,age,Value
Austria,2010,01 ,TOTAL,1346.6
Austria,2010,01 ,Y25-74,968.9999999999999
Austria,2010,01 ,Y_LT25,460.2000000000001
Austria,2010,02 ,TOTAL,1381.8000000000002
Austria,2010,02 ,Y25-74,1001.1
Austria,2010,02 ,Y_LT25,464.29999999999995
Austria,2010,03 ,TOTAL,1276.9
Austria,2010,03 ,Y25-74,952.6
Austria,2010,03 ,Y_LT25,402.69999999999993
Austria,2010,04 ,TOTAL,1375.1
Austria,2010,04 ,Y25-74,1049.4
Austria,2010,04 ,Y_LT25,402.1
Austria,2010,05 ,TOTAL,1308.1999999999998
Austria,2010,05 ,Y25-74,980.0000000000001
Austria,2010,05 ,Y_LT25,407.7
Austria,2010,06 ,TOTAL,1176.4
Austria,2010,06 ,Y25-74,866.0000000000001
Austria,2010,06 ,Y_LT25,388.2
Austria,2010,07 ,TOTAL,1250.3
Austria,2010,07 ,Y25-74,941.4
Austria,2010,07 ,Y_LT25,382.59999999999997
Austria,2010,08 ,TOTAL,1267.4
Austria,2010,08 ,Y25-74,884.9
Austria,2010,08 ,Y_LT25,474.7
Austria,2010,09 ,TOTAL,1267.5
Austria,2010,09 ,Y25-74,903.5
Austria,2010,09 ,Y_LT25,451.0
Austria,2010,10 ,TOTAL,1205.4
Austria,2010,10 ,Y25-74,926.6
Austria,2010,10 ,Y_LT25,346.0
Austria,2010,11 ,TOTAL,1154.6999999999998
Austria,2010,11 ,Y25-74,851.8999999999999
Austria,2010,11 ,Y_LT25,370.2
Austria,2010,12 ,TOTAL,1164.1
Austria,2010,12 ,Y25-74,866.3999999999999
Austria,2010,12 ,Y_LT25,366.4
Austria,2011,01 ,TOTAL,1251.0
Austria,2011,01 ,Y25-74,955.6999999999999
Austria,2011,01 ,Y_LT25,369.7
Austria,2011,02 ,TOTAL,1368.1
Austria,2011,02 ,Y25-74,984.8
Austria,2011,02 ,Y_LT25,475.1
Austria,2011,03 ,TOTAL,1247.8
Austria,2011,03 ,Y25-74,904.9
Austria,2011,03 ,Y_LT25,420.29999999999995
Austria,2011,04 ,TOTAL,1215.7
Austria,2011,04 ,Y25-74,879.8000000000001
Austria,2011,04 ,Y_LT25,416.9
Austria,2011,05 ,TOTAL,1190.9
Austria,2011,05 ,Y25-74,863.9
Austria,2011,05 ,Y_LT25,401.79999999999995
Austria,2011,06 ,TOTAL,1123.6999999999998
Austria,2011,06 ,Y25-74,825.5000000000001
Austria,2011,06 ,Y_LT25,368.4
Austria,2011,07 ,TOTAL,1103.4
Austria,2011,07 ,Y25-74,769.4
Austria,2011,07 ,Y_LT25,404.3
Austria,2011,08 ,TOTAL,1054.0
Austria,2011,08 ,Y25-74,776.5
Austria,2011,08 ,Y_LT25,339.4
Austria,2011,09 ,TOTAL,1105.4
Austria,2011,09 ,Y25-74,841.0000000000001
Austria,2011,09 ,Y_LT25,327.1
Austria,2011,10 ,TOTAL,1238.3000000000002
Austria,2011,10 ,Y25-74,872.4
Austria,2011,10 ,Y_LT25,447.4
Austria,2011,11 ,TOTAL,1321.1
Austria,2011,11 ,Y25-74,1003.2
Austria,2011,11 ,Y_LT25,393.49999999999994
Austria,2011,12 ,TOTAL,1236.5
Austria,2011,12 ,Y25-74,929.5999999999999
Austria,2011,12 ,Y_LT25,387.9
Austria,2012,01 ,TOTAL,1156.8000000000002
Austria,2012,01 ,Y25-74,843.2
Austria,2012,01 ,Y_LT25,386.70000000000005
Austria,2012,02 ,TOTAL,1269.4
Austria,2012,02 ,Y25-74,947.1
Austria,2012,02 ,Y_LT25,399.3
Austria,2012,03 ,TOTAL,1219.7
Austria,2012,03 ,Y25-74,887.8000000000001
Austria,2012,03 ,Y_LT25,413.4
Austria,2012,04 ,TOTAL,1245.1000000000001
Austria,2012,04 ,Y25-74,896.0999999999999
Austria,2012,04 ,Y_LT25,426.49999999999994
Austria,2012,05 ,TOTAL,1308.3
Austria,2012,05 ,Y25-74,981.1999999999999
Austria,2012,05 ,Y_LT25,410.1
Austria,2012,06 ,TOTAL,1346.4
Austria,2012,06 ,Y25-74,1023.6999999999999
Austria,2012,06 ,Y_LT25,398.59999999999997
Austria,2012,07 ,TOTAL,1366.2
Austria,2012,07 ,Y25-74,1012.5
Austria,2012,07 ,Y_LT25,436.0
Austria,2012,08 ,TOTAL,1392.6
Austria,2012,08 ,Y25-74,998.6999999999999
Austria,2012,08 ,Y_LT25,484.8999999999999
Austria,2012,09 ,TOTAL,1382.5
Austria,2012,09 ,Y25-74,1028.8
Austria,2012,09 ,Y_LT25,434.3
Austria,2012,10 ,TOTAL,1301.8000000000002
Austria,2012,10 ,Y25-74,999.7
Austria,2012,10 ,Y_LT25,377.09999999999997
Austria,2012,11 ,TOTAL,1324.6
Austria,2012,11 ,Y25-74,1007.0
Austria,2012,11 ,Y_LT25,391.2
Austria,2012,12 ,TOTAL,1339.0
Austria,2012,12 ,Y25-74,1017.3
Austria,2012,12 ,Y_LT25,402.4
Austria,2013,01 ,TOTAL,1429.0
Austria,2013,01 ,Y25-74,1077.7
Austria,2013,01 ,Y_LT25,432.2
Austria,2013,02 ,TOTAL,1452.8
Austria,2013,02 ,Y25-74,1125.5
Austria,2013,02 ,Y_LT25,407.00000000000006
Austria,2013,03 ,TOTAL,1483.9
Austria,2013,03 ,Y25-74,1177.4
Austria,2013,03 ,Y_LT25,377.00000000000006
Austria,2013,04 ,TOTAL,1411.4
