Country,Year,Month,Value,Year_Month
Austria,2019,01 ,2760.5000000000005,2019M01 
Austria,2019,02 ,2818.8000000000006,2019M02 
Austria,2019,03 ,2753.8,2019M03 
Austria,2019,04 ,2692.2999999999997,2019M04 
Austria,2019,05 ,2597.4,2019M05 
Austria,2019,06 ,2503.600000000001,2019M06 
Austria,2019,07 ,2610.6000000000004,2019M07 
Austria,2019,08 ,2643.9,2019M08 
Austria,2019,09 ,2541.9999999999995,2019M09 
Austria,2019,10 ,2531.2,2019M10 
Austria,2019,11 ,2370.9,2019M11 
Austria,2019,12 ,2485.2999999999997,2019M12 
Austria,2020,01 ,2519.3999999999996,2020M01 
Austria,2020,02 ,2678.5999999999995,2020M02 
Austria,2020,03 ,2708.7000000000003,2020M03 
Austria,2020,04 ,2853.9000000000005,2020M04 
Austria,2020,05 ,3360.0999999999985,2020M05 
Austria,2020,06 ,3361.7999999999997,2020M06 
Belgium,2019,01 ,3683.6999999999994,2019M01 
Belgium,2019,02 ,3596.9,2019M02 
Belgium,2019,03 ,3575.4,2019M03 
Belgium,2019,04 ,3569.3999999999996,2019M04 
Belgium,2019,05 ,3547.9,2019M05 
Belgium,2019,06 ,3509.7999999999997,2019M06 
Belgium,2019,07 ,3501.8999999999996,2019M07 
Belgium,2019,08 ,3444.3,2019M08 
Belgium,2019,09 ,3389.0,2019M09 
Belgium,2019,10 ,3410.7999999999993,2019M10 
Belgium,2019,11 ,3381.899999999999,2019M11 
Belgium,2019,12 ,3404.499999999999,2019M12 
Belgium,2020,01 ,3277.9999999999995,2020M01 
Belgium,2020,02 ,3255.7000000000007,2020M02 
Belgium,2020,03 ,3315.6999999999994,2020M03 
Belgium,2020,04 ,3490.8000000000006,2020M04 
Belgium,2020,05 ,3493.9000000000005,2020M05 
Belgium,2020,06 ,3514.400000000001,2020M06 
Bulgaria,2019,01 ,2111.9999999999995,2019M01 
Bulgaria,2019,02 ,2100.7000000000003,2019M02 
Bulgaria,2019,03 ,2020.2000000000003,2019M03 
Bulgaria,2019,04 ,1930.2,2019M04 
Bulgaria,2019,05 ,1847.4,2019M05 
Bulgaria,2019,06 ,1774.7999999999995,2019M06 
Bulgaria,2019,07 ,1730.2,2019M07 
Bulgaria,2019,08 ,1694.2,2019M08 
Bulgaria,2019,09 ,1702.5000000000002,2019M09 
Bulgaria,2019,10 ,1789.4,2019M10 
Bulgaria,2019,11 ,1845.6999999999998,2019M11 
Bulgaria,2019,12 ,1868.7999999999997,2019M12 
Bulgaria,2020,01 ,2002.0999999999997,2020M01 
Bulgaria,2020,02 ,1891.9,2020M02 
Bulgaria,2020,03 ,1835.9999999999998,2020M03 
Bulgaria,2020,04 ,2176.1000000000004,2020M04 
Bulgaria,2020,05 ,2049.3999999999996,2020M05 
Bulgaria,2020,06 ,1912.8999999999999,2020M06 
Croatia,2019,01 ,1956.4999999999998,2019M01 
Croatia,2019,02 ,1933.1999999999998,2019M02 
Croatia,2019,03 ,1867.7999999999995,2019M03 
Croatia,2019,04 ,1721.3000000000002,2019M04 
Croatia,2019,05 ,1644.7000000000005,2019M05 
Croatia,2019,06 ,1617.3000000000002,2019M06 
Croatia,2019,07 ,1612.8,2019M07 
Croatia,2019,08 ,1605.0,2019M08 
Croatia,2019,09 ,1580.7,2019M09 
Croatia,2019,10 ,1631.0000000000002,2019M10 
Croatia,2019,11 ,1656.1000000000004,2019M11 
Croatia,2019,12 ,1668.0000000000005,2019M12 
Croatia,2020,01 ,1694.7,2020M01 
Croatia,2020,02 ,1677.0,2020M02 
Croatia,2020,03 ,1774.1,2020M03 
Croatia,2020,04 ,2125.4,2020M04 
Croatia,2020,05 ,2234.2,2020M05 
Croatia,2020,06 ,2186.2999999999993,2020M06 
Cyprus,2019,01 ,735.0000000000001,2019M01 
Cyprus,2019,02 ,739.6,2019M02 
Cyprus,2019,03 ,729.4000000000001,2019M03 
Cyprus,2019,04 ,656.8000000000001,2019M04 
Cyprus,2019,05 ,635.0999999999999,2019M05 
Cyprus,2019,06 ,638.3,2019M06 
Cyprus,2019,07 ,645.9999999999999,2019M07 
Cyprus,2019,08 ,628.5999999999999,2019M08 
Cyprus,2019,09 ,592.1999999999999,2019M09 
Cyprus,2019,10 ,575.0000000000001,2019M10 
Cyprus,2019,11 ,616.6000000000001,2019M11 
Cyprus,2019,12 ,599.5000000000001,2019M12 
Cyprus,2020,01 ,585.9,2020M01 
Cyprus,2020,02 ,580.3999999999999,2020M02 
Cyprus,2020,03 ,619.4999999999999,2020M03 
Cyprus,2020,04 ,800.1999999999999,2020M04 
Cyprus,2020,05 ,869.7999999999998,2020M05 
Cyprus,2020,06 ,856.3000000000001,2020M06 
Czech Republic,2019,01 ,1455.5,2019M01 
Czech Republic,2019,02 ,1354.4999999999998,2019M02 
Czech Republic,2019,03 ,1459.3,2019M03 
Czech Republic,2019,04 ,1406.9000000000003,2019M04 
Czech Republic,2019,05 ,1398.8000000000002,2019M05 
Czech Republic,2019,06 ,1296.9,2019M06 
Czech Republic,2019,07 ,1448.6,2019M07 
Czech Republic,2019,08 ,1397.8000000000002,2019M08 
Czech Republic,2019,09 ,1442.7000000000003,2019M09 
Czech Republic,2019,10 ,1432.6000000000001,2019M10 
Czech Republic,2019,11 ,1411.6,2019M11 
Czech Republic,2019,12 ,1347.9999999999995,2019M12 
Czech Republic,2020,01 ,1410.7999999999997,2020M01 
Czech Republic,2020,02 ,1355.6,2020M02 
Czech Republic,2020,03 ,1386.1,2020M03 
Czech Republic,2020,04 ,1489.7,2020M04 
Czech Republic,2020,05 ,1629.8999999999999,2020M05 
Czech Republic,2020,06 ,1752.4,2020M06 
Denmark,2019,01 ,2089.4,2019M01 
Denmark,2019,02 ,2096.0,2019M02 
Denmark,2019,03 ,2117.6000000000004,2019M03 
Denmark,2019,04 ,2038.2000000000003,2019M04 
Denmark,2019,05 ,1923.3000000000004,2019M05 
Denmark,2019,06 ,1845.0,2019M06 
Denmark,2019,07 ,1899.5,2019M07 
Denmark,2019,08 ,1969.1000000000001,2019M08 
Denmark,2019,09 ,2056.8,2019M09 
Denmark,2019,10 ,2037.0999999999997,2019M10 
Denmark,2019,11 ,2011.1000000000001,2019M11 
Denmark,2019,12 ,1978.6000000000001,2019M12 
Denmark,2020,01 ,1835.9999999999998,2020M01 
Denmark,2020,02 ,1859.9,2020M02 
Denmark,2020,03 ,1796.0000000000002,2020M03 
Denmark,2020,04 ,1824.8,2020M04 
Denmark,2020,05 ,1948.5000000000002,2020M05 
Denmark,2020,06 ,2062.2999999999993,2020M06 
Estonia,2019,01 ,502.4,2019M01 
Estonia,2019,02 ,519.4000000000001,2019M02 
Estonia,2019,03 ,478.6000000000001,2019M03 
Estonia,2019,04 ,607.0,2019M04 
Estonia,2019,05 ,635.9000000000001,2019M05 
Estonia,2019,06 ,614.4,2019M06 
Estonia,2019,07 ,549.9999999999999,2019M07 
Estonia,2019,08 ,519.9,2019M08 
Estonia,2019,09 ,514.2,2019M09 
Estonia,2019,10 ,485.50000000000006,2019M10 
Estonia,2019,11 ,514.1000000000001,2019M11 
Estonia,2019,12 ,536.0,2019M12 
Estonia,2020,01 ,568.3000000000001,2020M01 
Estonia,2020,02 ,574.8,2020M02 
Estonia,2020,03 ,592.5,2020M03 
Estonia,2020,04 ,730.8000000000001,2020M04 
Estonia,2020,05 ,867.8000000000001,2020M05 
Estonia,2020,06 ,0.0,2020M06 
Finland,2019,01 ,2467.9999999999995,2019M01 
Finland,2019,02 ,2563.6999999999994,2019M02 
Finland,2019,03 ,2530.5,2019M03 
Finland,2019,04 ,2658.7,2019M04 
Finland,2019,05 ,2795.9,2019M05 
Finland,2019,06 ,2450.3,2019M06 
Finland,2019,07 ,2420.3999999999996,2019M07 
Finland,2019,08 ,2443.2000000000003,2019M08 
Finland,2019,09 ,2408.9999999999995,2019M09 
Finland,2019,10 ,2443.7999999999997,2019M10 
Finland,2019,11 ,2387.7999999999993,2019M11 
Finland,2019,12 ,2410.1,2019M12 
Finland,2020,01 ,2555.4,2020M01 
Finland,2020,02 ,2525.6999999999994,2020M02 
Finland,2020,03 ,2612.4,2020M03 
Finland,2020,04 ,2731.7999999999993,2020M04 
Finland,2020,05 ,3134.0000000000005,2020M05 
Finland,2020,06 ,2798.4,2020M06 
France,2019,01 ,32093.39999999999,2019M01 
France,2019,02 ,31700.200000000004,2019M02 
France,2019,03 ,31116.600000000002,2019M03 
France,2019,04 ,30296.600000000002,2019M04 
France,2019,05 ,29967.100000000002,2019M05 
France,2019,06 ,29770.100000000006,2019M06 
France,2019,07 ,29976.800000000007,2019M07 
France,2019,08 ,30576.400000000005,2019M08 
France,2019,09 ,29854.8,2019M09 
France,2019,10 ,29960.7,2019M10 
France,2019,11 ,29861.39999999999,2019M11 
France,2019,12 ,29652.3,2019M12 
France,2020,01 ,29240.9,2020M01 
France,2020,02 ,27761.2,2020M02 
